"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2016","5629","ACTIVIDADES DE OTROS SERVICIOS DE COMIDAS","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","9","ALOJAMIENTO Y SERVICIOS DE COMIDA","123734","17095","5065","81678","4112","230555","37430","88404","20569","462747","202296","272932","1001150","2306","9976","1013432","2609","286","1010538","796867","128005","12557","7","29615","967051","48504","5017","19","48485","3844","13161","0","35497","592","309","0","305","8206","0","8205","30","8235","596","4059","6","13606","13611","814","926","8","930","9415"
"2021","2432","Fundición de metales no ferrosos ","3","Manufactura","3","Industrias manufactureras","22722","3126","791","16046","389","80595","66694","53578","11222","238927","132249","107687","575625","1132","1406","578175","31151","274","546750","460828","23058","14350","6038","1948","506222","41555","953","827","40728","0","156","0","40573","3292","2663","0","628","12578","794","11784","63","11847","747","2673","3585","7686","11271","870","1354","12","1360","3322"
"2012","8412","Actividades ejecutivas de la administración pública","10","Actividades de la administración pública y defensa, de enseñanza, actividades de atención de la salud y de asistencia social","15","Administración pública y defensa","1333264","169420","73580","7529778","55690","3927583","1384042","23143844","6389816","42430753","17319140","25153783","14134309","836046","1549170","16519501","17110","828794","15673621","669803","8066130","639516","37455","1539918","10287495","7803","9427","20","7784","1135","1336","0","6453","1193","1192","0","1","2122","0","2122","0","2122","235","255","1","1724","1725","304","837","3","839","626"
"2017","8730","ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES PARA EL CUIDADO DE PERSONAS MAYORES Y/O DISCAPACITADAS","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","17","ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL","61005","8244","3115","29307","127713","35923","1039","243467","4314","450151","72493","378880","173799","1697","18282","193913","58","175","193851","55975","103005","15470","3882","2822","181154","12275","2363","833","11442","604","10805","8","2146","4913","2172","0","2741","571","1","570","279","834","54","60","261","359","610","65","152","7","158","145"
"2018","2910","FABRICACIÓN DE VEHÍCULOS AUTOMOTORES Y SUS MOTORES","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","260192","26192","8950","370302","107534","320158","830252","440834","84060","2157832","1413926","747595","6183116","48923","57522","6328574","383184","39013","5906377","5066987","159457","349830","89884","8799","5674956","237312","5891","11489","225823","21037","4","0","226267","202","147","0","55","74668","698","73971","5","82785","9492","12114","73984","3247","77231","1009","3429","1","3429","27768"
"2021","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","193570","21315","5886","100546","10080","356275","390949","322542","29063","1231832","797092","455228","4711294","12871","15098","4739552","126865","711","4611976","3838979","226576","313606","52760","7476","4439397","175290","3931","1726","173563","103","196","19","173410","2606","2392","258","134","52916","4754","48190","14","48205","2284","6327","20995","20043","41038","2884","11686","84","11715","10185"
"2015","4791","COMERCIO AL POR MENOR REALIZADO A TRAVÉS DE INTERNET","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","32963","3420","1217","38991","327","38545","30499","15081","8926","132368","121777","22808","200477","25529","11396","237402","6160","0","231242","164175","48866","71179","0","681","164855","2951","64923","195","2951","1052","301","0","3587","315","315","0","0","870","8","862","0","862","49","840","1","2340","2341","111","236","9","244","2492"
"2014","3812","Recolección de desechos peligrosos","4","Electricidad, gas, vapor y agua","5","Distribución de agua; evacuación y tratamiento de aguas residuales, y actividades de saneamiento ambiental","11240","1235","367","3947","552","27925","618","22431","2062","57535","30023","27547","76575","145","612","77332","2889","59","74384","47065","17456","2836","0","2729","23020","5449","1150","0","5449","604","94","0","5437","147","31","25","92","1360","0","1360","9","1369","78","290","145","1383","1528","69","342","4","343","796"
"2020","162","ACTIVIDADES DE APOYO A LA GANADERÍA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","1","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","58855","7054","2347","158992","150219","322456","55098","497426","18601","1226895","446678","786021","606928","5393","15642","636520","10623","9095","616802","355191","98771","37657","7714","4968","504301","115369","4923","36671","78698","2088","2028","0","77256","4042","2341","2","1700","10515","268","10248","172","10420","2712","2064","1734","5986","7720","2333","3212","22","3226","2947"
"2013","8030","Actividades de detectives e investigadores privados","9","Actividades profesionales, científicas, técnicas y de servicios administrativos y de apoyo","14","Actividades de servicios administrativos y de apoyo","1671","309","83","898","19","1969","0","1174","464","4524","1955","2569","6965","15","102","7083","1","0","7082","397","4559","1129","0","106","5794","761","0","0","761","56","0","0","765","0","0","0","0","188","0","188","0","188","17","7","0","598","598","22","1","0","2","413"
